doc_id,query
0,mediji kļuvuši īpaši aktuāli kad saasinās un pretstāve
1,pašizolācijas valstu saraksts ir kāda valsts kura šobrīd nav šajā sarakstā
2,satraukti jauna tendence cilvēki ēd mušmires
3,un piecel draugu risinās sporta nedēļa
4,grib ignorēt miljoniem balsu šūpo vēlēšanu laivu
5,ir gana augsta gatavs boksa supersērijas finālcīņai
6,iespējams joprojām klejo pa ielām pils parkā noticis šausminošs noziegums
7,turies pie tā kas tev jau ir no septembra līdz oktobrim
8,draudzīga un praktiska ideja pārvērst baseinu purviņā
9,kļūst par pirmo valsti kas izveidojusi neredzīgo sieviešu futbola komandu
10,tas ir prezidents kurš saka savai tautai man valdīt vēl
11,aizskries vēja spārniem septembrim
12,ietekmē ciklons būs septembra pēdējā sestdiena
13,izsūtīja nams palika kapteiņa skaistā dzimtas māja
14,portfeļu ir
15,izceļ dezinformācijas radīto postu ģenerālsekretārs brīdina par jaunu auksto karu
16,atpūties videi draudzīgāk un mierīgāk
17,nu atkal visi striķi plīst maratona organizators pastāsta par sacensību iespējamo norisi virtuālā vidē
18,jums bija šī tūrisma vasara
19,pirmdienas gaidāms vēsāks laiks sinoptiķi prognozē svētdienai
20,novada vadībai pārmet pārāk lielu tērēšanos koku stādīšanas laikā
21,ar igauņiem pētīs vēja parku iespējas jūrā
22,inficētas personas identificēs īpaši apmācīti suņi
23,kaimiņiem inficēšanās ar jauno koronavīrusu apstiprināta kopumā cilvēkiem
24,izgudrots vēl nebijis divritenis uzņēmuma veiksmes stāsts no
25,vēsturē vēl nebijis notikums likumā nostiprināta enciklopēdija
26,vārds ietekmē tavu dzīvi šīs dienas gaviļnieki un
27,tomātu baroni ģimene pusē pārsteidz ar lielo tomātu plantāciju
28,jauni saslimšanas gadījumi
29,ar ko saistīti jaunie saslimšanas gadījumi
30,sola pasludināt un par teroristu organizācijām
31,visvairāk izplatītie mīti par investēšanu
32,un draugi atvadās no noslepkavotā advokāta
33,skalo smadzenes krievu apmeklētājiem propagandas upuri kļuvis anesteziologs
34,demonstrācijas laikā sestdien aizturēti aptuveni cilvēki
35,turpina dzēst ugunskrēku salmu ruļļu šķūnī
36,mantas un atgriežas tautieši palikuši bez algām un pabalstiem
37,karaliskajā ģimenē gaidāms mazulis karalienes devītais mazmazbērns pasaulē ieradīsies gada ziemā
38,uzlabotos situācija ja mēs ēstu gaļu tikai reizi nedēļā vai reizi mēnesī
39,bija šāda intervija laikrakstā pievienošanās un pārsteidzoši augsta vieta sarakstā
40,tagad ir dārgākais dīzelis aktuālo situāciju degvielas nozarē pastāsta vadītājs
41,dzīvojošais patriots
42,elpotu mums vajag naftu recenzija par festivāla izstādi drošībā ir bīstami
43,visiem reģistrētajiem vismaz ir ārstniecības iestāžu darbinieki
44,tev šodien nesanāks tu vari zaudēt savas pozīcijas septembrim
45,kaimiņvalstīs ar saslimuši vēl cilvēki
46,divi gatavs un baltmaizes pudiņš izcili garšo kopā ar saldējumu
47,siro prestižajā rajonā nozog dārglietas seifu bet advokātu nežēlīgi noslepkavo
48,ienesošā tūrisma nozare ir teju iznīcināta ir ļoti lielas aizdomas ka mēs visi nevarēsim kļūt par speciālistiem
49,ar viedtālruni paziņot savu atrašanās vietu kad esi devies mežā sēņu medībās
50,ar koronavīrusu inficējušies cilvēki personām nav zināms inficēšanās avots
51,esam atraduši labu veidu kā karot bet kā sarunāties īsti ne ar režisoru
52,vārds ietekmē tavu dzīvi šīs dienas gaviļnieki un
53,ar draugu un kolēģu atbalstu iekārtojis mājokli kādreiz te bija bērnudārza grausts tagad mīlīga muižiņa
54,dienas šogad norisināsies tikai internetā
55,starpgadījumu tiešajā televīzijas ēterā sarīko infektologs
56,laika apstākļi mūs sagaida tuvākajās divās nedēļās sinoptiķi nāk klajā ar pirmajām prognozēm
57,prognozes vai svētdien gaidāms vasarīgs laiks
58,skaidrs ar ko viņi nodarbojas pašvaldības policijā vairākus gadus iespējams fiktīvi strādā daži vadošie darbinieki
59,lems vai atļauto ātrumu apdzīvotās vietas samazināt līdz kilometriem stundā
60,vientulība recenzija par spēlfilmu
61,ar atļaujām dīķu rakšanai veikli darboņi nelikumīgi ierīkojuši smilšu un grants karjeru
62,iedvesmas līdz darīšanai kā pirms gadiem iedvesmojoties citās zemēs sāka brūvēt sidru
63,tiešo no ražotāja aizvadīti pircēju iecienītie kartupeļu svētki ko varēja nopirkt
64,pieklājīgs mājiens ka nav gatava būt lojāla valdības nostājai vienmēr un visur
65,atkalievēlēšana var izrādīties liktenīga kā organizācijai
66,sācies karš ievainoti un miruši arī civilie iedzīvotāji izsludināts karastāvoklis
67,tikai administrators nepārskaita valstij konfiscētu netīru naudu miljonu eiro apmērā
68,noteikusi ka galvassegu aizliegums ir nelikumīgs
69,paaudzes debilizācija lietojot aborigēnu cilts valodu mācību līdzekļos rotaļas un tabu
70,ka lentītes nevarēs aizliegt ar likumu ir miglas pūšana
71,izsludina karastāvokli un citās pilsētās ieviesta komandantstunda
72,kādas summas izdalīs masu medijiem krīzes negatīvo seku mazināšanai
73,no ugunsgrēka piecstāvu dzīvojamā mājā izglābti cilvēki
74,sagādā īstus svētkus pēc raundu cīņas uzvar kubieti un kļūst par pasaules čempionu
75,laiks lai piedotu pāri darījumus no septembra līdz oktobrim
76,saraudina s dalībnieku gadus veco
77,galvenie nosacījumi lai tavs mājdzīvnieks justos laimīgs
78,pusi samazināt siltumnīcefekta gāzu izmešu apjomu kā tas iegrauzīs autokravu un aviopārvadājumiem
79,gada septembrī izķer siļķu mucas
80,informācija apcietinātās pianistes lietā
81,policists reibumā izvicina dūres nodarot miesas bojājumus kādai privātpersonai
82,vairs īsti nevar uzvarēt bet zaudēt arī vēl negrib uzskata ka nonākusi pata situācijā
83,kokus un krūmus novāc sakņaugus darāms dārzā no septembra līdz oktobrim
84,transformācija nodrošina uzņēmumiem un valdībām piekļuvi lielākam izaugsmes potenciālam
85,būs jāmācās attālināti kļūstot kritiskākai izplata aicinājumu skolām
86,nodarīti zaudējumi teju pusmiljona apmērā nodod nodokļu nemaksātāju
87,nekas nesāp pie ārsta nav jāiet nederēs kāpēc ik gadu no uroloģiskām salsimšanām mirst vairāk nekā cilvēku
88,lauksaimniecības politikas finansējums nav pietiekams lai sasniegtu ambiciozos vides un klimata mērķus
89,tautas zemē gadiem atklāts piemineklis kas svarīgs visiem patriotiem
90,un par miljoniem ļaus ielūkoties savā privātajā dzīvē pāris filmēsies realitātes šovā
91,lietus atgriežas zemu nokritīs termometra stabiņš pirmdien
92,negadījumā iesaistītas arī divas ātrās palīdzības automašīnas cietuši vairāki cilvēki
93,raksturīgas impulsīvas darbības un lēmumi septembrim
94,vārds ietekmē tavu dzīvi šīs dienas gaviļnieki un
95,ir liels zaudējums nozāģēts pie kāda latviešu strēlnieka kapa augušais dižkoks
96,brīdis kad dodas karot
97,vērtējat īpašas nozīmes aizsargājamo biotopu kartēšanu jeb dabas skaitīšanu
98,atklāj ko viņš vēlētos mainīt savā izskatā
99,iedotais īsais atelpas brīdis ir beidzies un narkoloģijas centra ārstam atklāts
100,no atkritumiem top mūsdienīgas mēbeles
101,gardiem ēdieniem rotaļām un koncertu iesācies rudens zelta lapu trakums
102,epidemiologu rekomandācijām parlaments atsāks darbu e
103,ka kāds salūtu šauj iznīcina dzīvokli
104,bērni ir aisberga mazākā daļa dēkainie ceļojumi neatklātie noslēpumi
105,no narkozes zobārsta krēslā nomirst deviņus gadus veca meitenīte
106,aizgājis dzejnieks
107,valdošā koalīcija pārdalīs reģionus un ieliks tur savus cilvēkus pieņemt ar pašvaldību reformu saistītus likumus
108,lai patiesība nāk gaismā jauna informācija par gadā notikušās prāmja katastrofas apstākļiem
109,uzliesmojums hokeja komandā mājas karantīnā aptuveni sporta skolas audzēkņi
110,nogalināti aptuveni azerbaidžāņu karavīri
111,saulaināks prognoze otrdienai
112,lai es kaut ko tādu ēstu izbrāķē savdabīgās brīvpusdienu pārtikas pakas
113,saražotais draņķis ir izrādījies no aplam izturīga materiāla taisīts feļetons
114,vēl iesākt ar tomātiem
115,turpina pieaugt saslimušo skaits konstatēts cilvēkam
116,atklāj kāpēc krīzes laikā pret vieniem uzņēmumiem ir pretimnākošs bet citiem atsaka
117,pret politiķiem latviete cietumā un no notikumu apskats
118,jaunatklātajiem inficēšanās gadījumiem lielākā daļa reģistrēti vienā pilsētā
119,atnesīs siltu rudeni par šīs nedēļas laikapstākļiem
120,atklāj lipīgākās notis diriģenti smīn
121,ir rets notikums ieradīsies prezidents kopā ar kundzi
122,slimnīcā slepus apciemojusi
123,notika kā sapnī kopā esam pacēluši ērgļa spārnos vēl augstāk pirmās emocijas pēc trešā čempiona goda
124,ar spirtu kāju karsēšana sīpola ēšana un citas efektīvas tautas metodes pret saaukstēšanos
125,ir bīstams bet tas ir pārspīlēts uzskata
126,skāris kādu tehnisko darbinieku
127,dabas ritmam kalendārs no septembra līdz okrobrim
128,savu ikdienas iedvesmas avotu sievietes aicinātas vakaros iepirkšanās un izklaides centrā
129,un reperis apvienojušies kopīgā dziesmā
130,sadzirdētiem pašvaldībā un iespēja pieteikties uz tiešsaistes mācībām
131,un žurnālistiem un un lauvas tiesa
132,un saspringta turpina būtiski pieaugt ar saslimušo skaits
133,ārā no mājām parādīt ka dzīve nav beigusies palīdz citiem grūtākajā dzīves brīdī
134,kad izšķīrās liktenis
135,konteinerā atklāj vairāk nekā miljonus cigarešu
136,reālus mērķus nemēģini lekt augstāk kā vari uzlekt septembrim
137,atklāj kur šobrīd ir cūku mēra epicentrs
138,veļasmašīnai mazāks ūdens patēriņš otrai lētāks remonts būs jauns marķējums kas krietni palīdzēs pircējam
139,talantīgajiem prasu divas reizes vairāk nekā pārējiem atslābina ar treneri
140,saslimsi kooperatīva biedri aizies un izslauks govis mazo un vidējo lauksaimnieku balsts
141,skaidrā nauda pazūd kas nāks vietā draud ja tā izzudīs ar ekonomikas profesoru
142,leģenda turpina dzīvot ir tādas vietas kur noslīcināt šo spēkratu
143,nosaka anticiklona dienvidrietumu mala otrdienai
144,pievienojas vēl viena līderpilsēta saslimuši divi sociālie darbinieki
145,izglītības iestādēs notikusi lokāla izplatība
146,skatīšanās kuros redzami mīlīgi dzīvnieciņi nav bezmērķīga laika pavadīšana
147,vārds ietekmē tavu dzīvi šīs dienas gaviļnieki un
148,smagi slimā vīra nāves uzklūp nevienam nezināmu pārādu piedzinēji
149,attīstīties neprasot naudu no valsts budžeta ar lietuviešu enerģētikas milža group vadītāju
150,ir iespēja panākt ekonomikas izaugsmi
151,veidi kā samazināt apkures rēķinu ilgtermiņā
152,nodemonstrē skatienu tas esot efektīvs veids kā iepazīties ar sievietēm
153,ir vērts investēt enerģētikas milža group akcijās
154,pārskatīts pensiju apmērs šoruden indeksācijas rezultātā palielināsies visas pensijas
155,pasauli ar patentbrīviem medikamentiem farmācijas uzņēmuma veiksmes stāsts
156,jauna auto tehniskās apskates sistēma būtiski mainīsies pakalpojuma cena
157,izcili našķi ko pagatavot no auzu pārslām cepumi ar šokolādi vai kokosriekstu skaidiņām un kūka ar mandelēm
158,pastāsta cik daudz gadījumiem patiesībā izdodas izsekot
159,vēršas revidentu asociācijā
160,pret aizturēto policijas iecirknī sodīs iespējamo vainīgo
161,ragā novērota krāšņa ziemeļblāzma
162,izceļas nopietns strīds ar vīru viņš gatavs doties peļņā uz jo pret cilvēkiem izturas kā pret vergiem
163,mūzikas pamatlicējs dzīve trūkumā gada septembrī
164,un rupji pārkāpuši vienošanos ar karalisko ģimeni var piemērot bargu sodu
165,avārija bojā gājuši divi cilvēki
166,slimnieku kontaktpersonām jauni noteikumi
167,bija priekšnieks mācēja izsist fondus taisījām tik augšā
168,pamanīji ka samazinātās likmes dēļ augļiem ogām un dārzeņiem bijušas zemākas cenas
169,konduktors pirms gadiem tramvajā nolamā un apkrāpj iedzīvotāju
170,būs septembra pēdējā diena prognoze trešdienai
171,atklāti jauni gadījumi vēl viens pacients
172,un izsludinās ārkārtējo stāvokli dēļ
173,konstatētas dažādas jaunā koronavīrusa mutācijas vēl atklājuši zinātnieki par situāciju
174,pasaka ar kādu nosacījumu subsidēs algas krīzē cietušiem pārtikas ražotājiem
175,atklāj cik izglītības iestādes kopumā šoruden skāris
176,ko saistīta vēlme apvienot amatus šim nav pieminēts kāds fakts
177,praktiski padomi kā nosargāt tulpes no žurkām
178,ņemt vērā ieviešot saudzējošo lauksaimniecību
179,zīmē dzimušie ko šogad zvaigznes vēl sola
180,lauksaimniecības konsultanti gatavi digitālajai ērai
181,trūkums aizvien lielāks skolas celt prestižu vai palielināt algas
182,telefoni viegli aizvieto vairākas ierīces
183,uzliesmojums slēdz skolas slimnīcām dots rīkojums atbrīvot simtiem gultu
184,vīlušies mums nav ko slēpt lēmumu publicēsim un pārsūdzēsim par piemēroto sodu
185,neesam naivi bet mums ir jāatsāk dialogs ar runā pilī
186,strauji palielinājies ar saslimušo skaits ierobežojumi gaidāmi iedzīvotājiem
187,jauns valsts tēls atpazīstamībai ārvalstīs ieguldīs miljonus
188,dedzināt paleti nevis malku jāmācās šķirot un izmantot koka atkritumus
